,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Investment Geographical Preference / Project Location,,,,,,,,Investment Round,,,,,,Investment Capial / Capital Seek,,,,,,,,,,Targeted Investment Sectors,,,,,,,,,,,,,
,,Centaline Investment,Investor,Joey Lo,Private Equity ,"Hong Kong, China (Hong Kong)", China (Hong Kong),"Asia,Australasia,North America",Y,,Y,,Y,,,,,,,,,,,,,,,,,,,Infrastructure and Real Estate Services,,,,,,,,Y,,,/participations/454441,,,Student Housing investment in HK and US
,https://storage.googleapis.com/b2match-as-1/CUCWGtb1mo9oY9uHBm6BZ4Qj,Central Europe Trust,Investor,David Keresztes,Private Equity ,"London, United Kingdom", United Kingdom,"Asia,Africa,Europe,Australasia,Middle East,North America,South America",Y,Y,Y,Y,Y,Y,Y,"IPO,Series A,Series B,Seed & Pre-Series A,Series C and Beyond",Y,Y,Y,Y,Y,"500,000 USD or below,50,000,001 USD or above,500,001 to 1,000,000 USD,5,000,001 to 7,500,000 USD,2,500,001 to 5,000,000 USD,1,000,001 to 2,500,000 USD,7,500,001 to 10,000,000 USD,25,000,001 to 50,000,000 USD,10,000,001 to 25,000,000 USD",Y,Y,Y,Y,Y,Y,Y,Y,Y,"Consumer,Education,Deep Technology,Financial Technology,Food and Agriculture,Healthcare Technology,Manufacturing Technology,Digital Entertainment and Media,Infrastructure and Real Estate Services,Environment, Energy and Clean Technology",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/participations/451961,https://www.cet.co.uk/,https://www.linkedin.com/in/david-keresztes-7a25891/,"Central Europe Trust (CET) was co-founded in 1989 by The Rt Hon the Lord Lawson of Blaby, PC, who as chancellor in the cabinet of Baroness Thatcher, LG, OM, DStJ, PC, FRS, HonFRSC, led the economic liberalisation, “Big Bang” deregulation of the financial markets in the City of London, ₤80b privatization program, and was of Central & East European (CEE) descent. 

CET’s leadership has 300+ years of experience including at Booz Allen Hamilton, JP Morgan, SG Warburg, Rothschild, Goldman Sachs, and Morgan Stanley; is headquartered in London with representation in Warsaw, Prague, Budapest, Zagreb, Bucharest, Kyiv, and Moscow; and has been involved in projects having 1,000 clients / counterparties via:

Management consulting: 1,000+ market entry into CEE, business development, operational / financial optimization, and restructuring engagements

Financial advisory: 230+ merger, corporate finance, and project finance transactions, 50+ of which involved $10b+ of venture capital/private equity

Private equity: Eight CEE funds, 80+ investments, $825m+ with partners  the European Commission (Phare Programme), European Bank for Reconstruction & Development, PPF, AIG, Framlington (now AXA), Credit Commercial de France (Cerberus), Bank Zachodni (Santander), Jupiter Asset Management, Commerzbank,  and Charterhouse, generating an overall 3.4x ROIC / 30% IRR. 

We seek minority and majority equity or credit transactions in CEE and worldwide of €1m-300m+ in all sectors, including but not limited to consumer, financial services, healthcare, industrial, IT, communications, energy, natural resources, and real assets on behalf of funds we advise on the buy-side or if an opportunity does not meet our investment criteria than as advisor on the sell-side.

E: david.keresztes@cet.co.uk
M: +36 70 162 7575 (WhatsApp/Viber/WeChat)"
,https://storage.googleapis.com/b2match-as-1/GV6DvLSVeDZxLb5xcVmKphCz,China - Bangladesh Investment and Partnership Platform,Investor,Alex Wang,Incubator,"Beijing, China", China,Asia,Y,,,,,,,"Series A,Seed & Pre-Series A",Y,Y,,,,,,,,,,,,,,"Consumer,Education,Food and Agriculture,Manufacturing Technology,Digital Entertainment and Media,Infrastructure and Real Estate Services,Environment, Energy and Clean Technology",,,Y,,Y,Y,Y,Y,Y,Y,/participations/451478,,,"The China-Bangladesh Investment and Partnership Platform (CBIPP) is a collaborative initiative aimed at fostering deeper economic ties between China and Bangladesh. This platform seeks to enhance bilateral trade, investment, and technological cooperation, creating opportunities for both countries to expand their markets and improve infrastructure. By facilitating partnerships across various sectors, including renewable energy, manufacturing, and infrastructure development, the CBIPP aims to promote sustainable economic growth and regional connectivity. The platform serves as a vital channel for Chinese enterprises to engage with Bangladesh's rapidly growing economy, while also providing Bangladesh with access to China's vast technological expertise and capital. The CBIPP aligns with broader regional initiatives, such as the Belt and Road Initiative (BRI), and contributes to the development of Bangladesh as a key player in South Asia's economic landscape.

中孟投资与伙伴关系平台 (CBIPP) 是一项旨在促进中国与孟加拉国之间更深层次经济联系的合作倡议。该平台旨在加强双边贸易、投资和技术合作，为两国扩大市场和改善基础设施创造机会。通过促进可再生能源、制造业和基础设施发展等各个领域的伙伴关系，CBIPP 旨在促进可持续的经济增长和区域互联互通。该平台是中国企业与孟加拉国快速增长的经济互动的重要渠道，同时也为孟加拉国提供了中国庞大的技术专长和资本。CBIPP 契合更广泛的区域倡议（例如“一带一路”倡议 (BRI)），并推动孟加拉国作为南亚经济格局的关键参与者的发展。

页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/7C1b7HwFVTSmSnB6Ci9iCjxD,China Power International Holding Ltd,Investor,Bryan Tsang,Institutional Investor,"Hong Kong, China (Hong Kong)", China (Hong Kong),Asia,Y,,,,,,,,,,,,,"50,000,001 USD or above",,,,,,,,,Y,"Environment, Energy and Clean Technology",,,Y,,,,,,,,/participations/434004,https://www.chinapower.hk/sc/global/home.php,,"China Power International Holding Ltd.
Incorporated in Hong Kong in 1994, China Power International Holding Ltd. (CPIH) is a wholly-owned subsidiary of State Power Investment Corporation. CPIH's main business covers the development, investment, construction and operation of conventional power, new energy, integrated smart energy and hydrogen projects.


中国电力国际有限公司于1994年在香港成立，是国家电力投资集团（国家电投）的全资子公司。中国电力的主要业务涵盖常规电力、新能源、综合智慧能源及氢能项目的开发、投资、建设和运营。




页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/ECxJcYtHu8658AvXEyUHmjAT,Clee Capital,Investor,Chris Lee,Family Office ,"Central, China (Hong Kong)", China (Hong Kong),"Asia,North America",Y,,Y,,,,,"Series A,Series B,Seed & Pre-Series A",Y,Y,Y,,,"500,000 USD or below,500,001 to 1,000,000 USD",Y,Y,,,,,,,,"Consumer,Deep Technology,Food and Agriculture,Digital Entertainment and Media,Environment, Energy and Clean Technology",,Y,Y,,Y,Y,,,Y,,/participations/449010,https://www.clee-cap.com/,,"Clee Capital Limited
Clee Capital Limited is a Korean, single-family office in Hong Kong. Founded in 2013, by the 3rd generation grandson, Chris Chang Hun Lee, it operates businesses in South Korea, Hong Kong, Indonesia, Myanmar, and Singapore. It operates as an independent investment vehicle to help our partners grow and flourish together


Clee Capital Limited
Clee Capital Limited 是一家位于香港的韩国单一家族办公室。该公司由第三代孙 Chris Chang Hun Lee 于 2013 年创立，业务遍及韩国、香港、印度尼西亚、缅甸和新加坡。该公司是一家独立的投资工具，旨在帮助我们的合作伙伴共同成长和繁荣



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/GnjCaiyth5TMZp58LdWpjWNp,COMITIVA RESILIENTE UNIPESSOAL LDA,Investor,Jiffin Thomas Chakkalaparambil Joseph,Incubator,"POVOA DE SANTA IRIA, Portugal", Portugal,"Asia,Europe",Y,Y,,,,,,"IPO,Seed & Pre-Series A",Y,Y,,,Y,"500,000 USD or below",Y,,,,,,,,,"Consumer,Food and Agriculture,Healthcare Technology",,,,Y,Y,,,,Y,,/participations/451187,https://www.comitivaresiliente.pt,,"Company designed to Import and Export food related products from India to Portugal(In Trials) and further to be extended all over by 2028.


公司旨在印度和葡萄牙（在试行中）之间进出口食品相关产品，并将于2028年之前进一步扩展到全球所有其它地区。



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,,Complex Capital,Investor,Sam Kennedy,Private Equity ,"Singapore, Singapore", Singapore,"Asia,Australasia,Middle East,North America",Y,,Y,Y,Y,,,"IPO,Series A,Series B,Seed & Pre-Series A,Series C and Beyond",Y,Y,Y,Y,Y,"50,000,001 USD or above,25,000,001 to 50,000,000 USD",,,,,,,,Y,Y,"Deep Technology,Financial Technology",Y,Y,,,,,,,,,/participations/436552,https://www.comcap.com.au,,M&A
,https://storage.googleapis.com/b2match-as-1/HRXU2fV4RHgppgBVVrUR1CZa,Contech Enterprises Limited,Investor,Robert Allender,Private Equity ,"Hong Kong, China (Hong Kong)", China (Hong Kong),"Asia,Europe,Australasia,Middle East,North America",Y,Y,Y,Y,Y,,,"Series A,Seed & Pre-Series A",Y,Y,,,,"50,000,001 USD or above,5,000,001 to 7,500,000 USD,2,500,001 to 5,000,000 USD,7,500,001 to 10,000,000 USD,25,000,001 to 50,000,000 USD,10,000,001 to 25,000,000 USD",,,,Y,Y,Y,Y,Y,Y,"Deep Technology,Financial Technology,Manufacturing Technology",Y,Y,,,,,Y,,,,/participations/446946,,,"Contech co-invests with select partners, primarily in AI and cybersecurity."
,https://storage.googleapis.com/b2match-as-1/MEMFDdXSWnQ2aTor5kM1kqp6,Copenhagen Infrastructure Partners,Investor,Emma Vase,Private Equity ,"Copenhagen, Denmark", Denmark,"Asia,Africa,Europe,Australasia,Middle East,North America,South America",Y,Y,Y,Y,Y,Y,Y,,,,,,,"50,000,001 USD or above",,,,,,,,,Y,"Environment, Energy and Clean Technology",,,Y,,,,,,,,/participations/449159,https://www.cip.com,,"Founded in 2012, Copenhagen Infrastructure Partners P/S (CIP) today is the world’s largest dedicated fund manager within greenfield renewable energy investments and a global leader in offshore wind. The funds managed by CIP focus on investments in offshore and onshore wind, solar PV, biomass and energy-from-waste, transmission and distribution, reserve capacity, storage, advanced bioenergy, and Power-to-X.

CIP manages 12 funds and has to date raised approximately EUR 31 billion for investments in energy and associated infrastructure from more than 180 international institutional investors. CIP has approximately 500 employees and 14 offices around the world.


Copenhagen Infrastructure Partners P/S (CIP) 成立于 2012 年，如今是全球最大的绿地可再生能源投资专用基金管理人，也是海上风电领域的全球领导者。CIP管理的基金专注于海上和陆上风电、太阳能光伏、生物质能和废能源、输配电、备用容量、储能、先进生物能源和Power-to-X的投资。

CIP 管理着 12 只基金，迄今已从 180 多家国际机构投资者那里筹集了约 310 亿欧元用于能源和相关基础设施投资。CIP 在全球拥有约 500 名员工和 14 个办事处。



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/23hoY3VzDhovYZNNVgMRRGnF,creative valley,Investor,Kelly Zhang,Incubator,"paris, France", France,"Asia,Europe",Y,Y,,,,,,,,,,,,"500,000 USD or below",Y,,,,,,,,,"Consumer,Education,Deep Technology,Financial Technology,Food and Agriculture,Healthcare Technology,Digital Entertainment and Media",Y,Y,,Y,Y,Y,,,Y,Y,/participations/453636,https://www.creative-valley.fr/,https://twitter.com/creative_valley,Key player of startup incubation and acceleration since 2011 in France and internationally
,https://storage.googleapis.com/b2match-as-1/5VYdug115tUg4713ebdECEVu,creditease,Investor,Ning Fan,Family Office ,"hk, China (Hong Kong)", China (Hong Kong),"Asia,Europe,North America",Y,Y,Y,,,,,"Series A,Series B,Series C and Beyond",,Y,Y,Y,,"50,000,001 USD or above",,,,,,,,,Y,"Consumer,Education,Deep Technology,Financial Technology,Food and Agriculture,Healthcare Technology,Manufacturing Technology,Infrastructure and Real Estate Services,Environment, Energy and Clean Technology",Y,Y,Y,Y,Y,,Y,Y,Y,Y,/participations/451994,,,fund of funds
,https://storage.googleapis.com/b2match-as-1/4fhmBG7imWJsXAU5XYFF4q1Q,Crewstone,Investor,John Bivins,Private Equity ,"New York, United States", United States,"Asia,Africa,Europe,Middle East,North America",Y,Y,Y,Y,,Y,,"IPO,Series A,Series B,Seed & Pre-Series A,Series C and Beyond",Y,Y,Y,Y,Y,"50,000,001 USD or above,5,000,001 to 7,500,000 USD,2,500,001 to 5,000,000 USD,7,500,001 to 10,000,000 USD,25,000,001 to 50,000,000 USD,10,000,001 to 25,000,000 USD",,,,Y,Y,Y,Y,Y,Y,"Consumer,Education,Deep Technology,Financial Technology,Food and Agriculture,Healthcare Technology,Manufacturing Technology,Digital Entertainment and Media,Infrastructure and Real Estate Services,Environment, Energy and Clean Technology",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/participations/453713,,,Alternative Investor
,https://storage.googleapis.com/b2match-as-1/LWYuX1hXiHzUwkjWBSuBUCfL,Crewstone International,Investor,Jane Teoh,Private Equity ,"Kuala Lumpur, Malaysia", Malaysia,Asia,Y,,,,,,,"IPO,Series A,Series B,Seed & Pre-Series A,Series C and Beyond",Y,Y,Y,Y,Y,"5,000,001 to 7,500,000 USD,7,500,001 to 10,000,000 USD,10,000,001 to 25,000,000 USD",,,,,Y,Y,Y,,,"Financial Technology,Food and Agriculture,Healthcare Technology,Infrastructure and Real Estate Services,Environment, Energy and Clean Technology",Y,,Y,Y,,,,Y,Y,,/participations/453712,https://www.crewstoneinternational.com/,https://www.linkedin.com/company/crewstone,"Crewstone International is a private equity firm with a diverse portfolio of investments across a range of sectors including capital markets, logistics, healthcare, green technology, automated manufacturing, ICT, and e-commerce. We have a strong network of regulators and government agencies in the ASEAN region, allowing us to optimise solutions and drive success to our clients. We hold a PEMC license, regulated by the Securities Commission Malaysia (VCPE/0099/2023)."
,https://storage.googleapis.com/b2match-as-1/CDYBTwKZPPypTs1jQHBu8U2R,CS PROSPERITY CONSULTANCY PTE. LTD,Investor,Winnie Yeung,Family Office ,"新加坡, Singapore", Singapore,Asia,Y,,,,,,,Series A,,Y,,,,"500,001 to 1,000,000 USD",,Y,,,,,,,,"Healthcare Technology,Digital Entertainment and Media",,,,Y,,Y,,,,,/participations/451675,,,"Singapore CS PROSPERITY CONSULTANCY is a professional institution that provides overseas investment and financing services for Chinese-funded enterprises. It provides inheritance, identity planning, family affairs services, and investment and financing consulting services to high-net-worth families and family businesses.



The content of this page has been translated by AI. In case of any discrepancies, please refer to the original document.


新加坡CS PROSPERITY CONSULTANCY 是为中资企业出海投融资服务的专业机构，为高净值家庭及家族企业提供传承、身份规划、家族事务服务、投融资咨询服务"
,https://storage.googleapis.com/b2match-as-1/CCLPv64Nkxi7wWSotZctqKBB,DEFTA Capital Inc.,Investor,Mikio Tanji,Venture Capital ,"Yokohama-shi, Japan", Japan,"Asia,Europe,Middle East,South America",Y,Y,,Y,,,Y,"Series A,Seed & Pre-Series A",Y,Y,,,,"50,000,001 USD or above",,,,,,,,,Y,"Deep Technology,Food and Agriculture,Healthcare Technology,Environment, Energy and Clean Technology",,Y,Y,Y,,,,,Y,,/participations/434668,https://www.deftapartners.com,,"Specialized in Healthcare field. Aims to support venture business with cutting edge technology not only financially but also advising on management and business development.
Focused on seed and early.
Having offices in the US, Japan and Hong Kong


专注于医疗保健领域。旨在通过尖端技术为风险投资企业提供资金支持，同时提供管理和业务发展方面的建议。专注于种子和初期阶段。在美国、日本和香港设有办公室



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,,Dreame Technology,Investor,Isabella Pang,Venture Capital ,"Suzhou, China", China,"Asia,North America",Y,,Y,,,,,"Series A,Seed & Pre-Series A",Y,Y,,,,"500,000 USD or below,500,001 to 1,000,000 USD,2,500,001 to 5,000,000 USD,1,000,001 to 2,500,000 USD",Y,Y,Y,Y,,,,,,"Consumer,Deep Technology,Manufacturing Technology",,Y,,,Y,,Y,,,,/participations/449101,https://global.dreametech.com/,,"CVC of Dreame Technology, a well-known smart home appliances and robotics unicorn.


追觅科技的CVC，一间知名智能家电及机器人的独角兽企业。



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/4cG5DE6H7t96dgQ3YFqRqJPP,enlight venture,Investor,yongmin kim,Venture Capital ,"Daegusi, South Korea", South Korea,"Asia,Africa,Europe,Middle East",Y,Y,,Y,,Y,,"Series A,Seed & Pre-Series A,Series C and Beyond",Y,Y,,Y,,"500,000 USD or below,1,000,001 to 2,500,000 USD,10,000,001 to 25,000,000 USD",Y,,Y,,,,Y,,,"Deep Technology,Food and Agriculture,Healthcare Technology,Digital Entertainment and Media,Environment, Energy and Clean Technology",,Y,Y,Y,,Y,,,Y,,/participations/453174,https://www.enlightvc.com,,"Company’s description

Enlight Ventures is a fast-growing venture capital firm accredited by the Ministry of SMEs & Startups of Korea, investing in early and middle-stage tech ventures from Korea and beyond.

Details
Established in 2017, Enlight Ventures is currently managing about 30 venture funds with approximately USD 350million (approx. KRW 500 billion) as the asset under management. We have invested in 360 companies in sectors/themes including VR/AR, Smart City, AI, Mobility, Healthcare, Ag-tech, Energy, Materials, Logistics and Consumer Goods. 

Equipped with diverse industry experience and extensive investment expertise led by six partners, we strive to go beyond mere financial backing, to map out long-term support as a value-up partner for startups. 

Enlight Ventures actively engages with key innovation ecosystem stakeholders from both public and private sectors, leveraging venture-led tech solutions to respond to sustainability issues. As part of such action, we are in preparation for initiating a global technology transfer program for accelerating and investing in climate tech ventures with a primary focus on the ASEAN & MENA including the carbon credit."
,,EQT,Investor,Queenie Wong,Institutional Investor,"Hong Kong, China (Hong Kong)", China (Hong Kong),Asia,Y,,,,,,,"Series A,Series B,Series C and Beyond",,Y,Y,Y,,"50,000,001 USD or above",,,,,,,,,Y,"Consumer,Financial Technology,Digital Entertainment and Media",Y,,,,Y,Y,,,,,/participations/452261,,,A purpose-driven global investment organization.
,,Euroclear,Investor,Alexander Sulaimani,Institutional Investor,"Singapore, Singapore", Singapore,"Asia,Africa,Europe,Australasia,Middle East",Y,Y,,Y,Y,Y,,"Series A,Series B,Series C and Beyond",,Y,Y,Y,,"500,000 USD or below,50,000,001 USD or above,500,001 to 1,000,000 USD,5,000,001 to 7,500,000 USD,2,500,001 to 5,000,000 USD,1,000,001 to 2,500,000 USD,7,500,001 to 10,000,000 USD,25,000,001 to 50,000,000 USD,10,000,001 to 25,000,000 USD",Y,Y,Y,Y,Y,Y,Y,Y,Y,"Financial Technology,Infrastructure and Real Estate Services",Y,,,,,,,Y,,,/participations/453767,,,"- Capital Markets
- World’s leading post-trade settlement system"
,https://storage.googleapis.com/b2match-as-1/K416gUeQJFGaso8PQQVX37WW,EXS Capital Group,Investor,Cathy Huang,Private Equity ,"Hong Kong, China (Hong Kong)", China (Hong Kong),"Asia,Europe,Australasia,North America",Y,Y,Y,,Y,,,"Series A,Series B",,Y,Y,,,"5,000,001 to 7,500,000 USD,2,500,001 to 5,000,000 USD,1,000,001 to 2,500,000 USD,7,500,001 to 10,000,000 USD,10,000,001 to 25,000,000 USD",,,Y,Y,Y,Y,Y,,,"Consumer,Education,Infrastructure and Real Estate Services",,,,,Y,,,Y,,Y,/participations/451480,http://www.exs.com,,"EXS is an independent investment firm dedicated to Asia Pacific with offices in Hong Kong and Singapore. EXS sponsors private equity investments into real estate businesses in partnership with expert management teams, either local developers or sector specialists, with the goal of building high-valuation market leaders."
,,First Capital Asia Investment Ltd,Investor,Shing CHENG,Angel Investor ,"Hong Kong, China (Hong Kong)", China (Hong Kong),Asia,Y,,,,,,,"Series A,Seed & Pre-Series A",Y,Y,,,,"50,000,001 USD or above",,,,,,,,,Y,"Consumer,Education,Deep Technology,Financial Technology,Healthcare Technology,Digital Entertainment and Media,Infrastructure and Real Estate Services,Environment, Energy and Clean Technology",Y,Y,Y,Y,Y,Y,,Y,,Y,/participations/432977,https://FirstCapital.asia,,First capital asia investment
,,Five Peaks Capital,Investor,Yolanda Tan,Institutional Investor,"Hongkong, China (Hong Kong)", China (Hong Kong),"Asia,Europe,Middle East,South America",Y,Y,,Y,,,Y,"IPO,Series A,Series B,Seed & Pre-Series A,Series C and Beyond",Y,Y,Y,Y,Y,"50,000,001 USD or above",,,,,,,,,Y,"Consumer,Food and Agriculture,Manufacturing Technology,Infrastructure and Real Estate Services,Environment, Energy and Clean Technology",,,Y,,Y,,Y,Y,Y,,/participations/450069,https://fivepeakscapital.hk,,"Equity investment .EPC finance.trade finance ,preIPO. Corporate investment,institutional investment"
,https://storage.googleapis.com/b2match-as-1/9QbHjanFDdL1WFdhYzpHYKtH,Fortunate Realty Corp,Investor,David Sun,Private Equity ,"Glendale, United States", United States,"Asia,North America",Y,,Y,,,,,Seed & Pre-Series A,Y,,,,,"7,500,001 to 10,000,000 USD",,,,,,Y,,,,Infrastructure and Real Estate Services,,,,,,,,Y,,,/participations/453760,,,We are both savvy developer and private equity partner
,,Fosun Health Capital,Investor,Laurel Zhang,Venture Capital ,"Shanghai, China", China,"Asia,Europe,North America",Y,Y,Y,,,,,"Series A,Seed & Pre-Series A",Y,Y,,,,"5,000,001 to 7,500,000 USD,7,500,001 to 10,000,000 USD",,,,,Y,Y,,,,Healthcare Technology,,,,Y,,,,,,,/participations/453654,,,"New Drug Fund under Fosun Health Capital, the VC arm of Fosun Pharma is the first early-stage innovation fund initiated by Fosun Pharma based on the unique incubation model. The fund was established in August 2020 with the size of around USD200 million. Until now, the fund has invested and incubated 10 high-growth portfolios, focusing on indications such as infection, liver disease, tumor, immunity, ophthalmology, otology, and medical aesthetics, covering directions such as chemical drugs, antibodies, nucleic acid drugs, gene therapy, cell therapy, and tissue regeneration."
,https://storage.googleapis.com/b2match-as-1/LmAGVryumSb5znyGRVRFfNm8,Futurism Labs,Investor,Hankun KIM,Institutional Investor,"Seoul, South Korea", South Korea,Asia,Y,,,,,,,Seed & Pre-Series A,Y,,,,,"10,000,001 to 25,000,000 USD",,,,,,,Y,,,Financial Technology,Y,,,,,,,,,,/participations/450978,https://ftrsm.io,https://www.linkedin.com/in/hankun-kim-b6270161/?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,"Futurism, established in 2022, deploy multiple strategies on reputable CES such as Binance, OKX, Bybit and others. By operating solely through API Keys without transferring assets from clients' accounts, we can overcome trust issues. Our team, with years of experience in quantitative portfolio management in traditional finance before founding Futurism, is passionate about consistently delivering high alpha that outperforms the market.


Futurism成立于2022年，在Binance、OKX、Bybit等信誉良好的CES上部署了多种策略。通过仅通过API密钥操作而不从客户的账户转移资产，我们可以克服信任问题。在创立Futurism之前，我们的团队在传统金融领域拥有多年的量化投资组合管理经验，热衷于始终如一地提供优于市场的超额回报。



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/91iD2x6vJNjshzDpqhjZouwW,G Capital,Investor,Tian Gan,Family Office ,"上海, China", China,"Asia,Europe,Australasia,Middle East,North America",Y,Y,Y,Y,Y,,,"IPO,Series A,Series B,Seed & Pre-Series A,Series C and Beyond",Y,Y,Y,Y,Y,,,,,,,,,,,"Deep Technology,Financial Technology,Healthcare Technology,Digital Entertainment and Media,Environment, Energy and Clean Technology",Y,Y,Y,Y,,Y,,,,,/participations/451494,,,"The company is mainly engaged in family office and high-end investment banking businesses such as M&A and restructuring. The M&A and restructuring business focuses on deep-tech industries such as biomedicine, automotive and semiconductors.



The content of this page has been translated by AI. In case of any discrepancies, please refer to the original document.


公司主要从事家族办公室和并购重组精品投行业务。并购重组业务主要关注于生物医药、汽车、半导体等深科技行业。"
,https://storage.googleapis.com/b2match-as-1/FsepvDoxZ1JBkcp5yHiAoEgy,Glass Ventures,Investor,Cinderella Amar,Venture Capital ,"London, United Kingdom", United Kingdom,Europe,,Y,,,,,,Seed & Pre-Series A,Y,,,,,"10,000,001 to 25,000,000 USD",,,,,,,Y,,,"Consumer,Deep Technology,Financial Technology",Y,Y,,,Y,,,,,,/participations/449250,https://www.glassventures.vc/,,"Glass Ventures (www.glassventures.vc) is Fineqia's venture capital fund in formation, led by industry leaders Bundeep Singh Rangar and Cinderella Amar. It focuses on Web 4.0, next iteration of the Internet that’s about applications built on existing AI, blockchain, augmented reality and quantum computing Web 3.0 technologies. 

GV has set up a dedicated lab within Cambridge Blockchain Labs for exceptional deal flow and due diligence capabilities, with deep tech insights backed by academic research. As part of its commitment, Fineqia is contributing some of its existing investments to GV's portfolio. 

GV intends to invest in category-defining digital asset companies and supporting world-class entrepreneurs, who promote financial empowerment, sustainability, interdependent and peaceful societies by revolutionising the way we communicate, interact, and work.


Glass Ventures (www.glassventures.vc) 是 Fineqia 正在组建的风险投资基金，由行业领袖 Bundeep Singh Rangar 和 Cinderella Amar 领导。它专注于 Web 4.0，即互联网的下一代，其内容是基于现有 AI、区块链、增强现实和量子计算 Web 3.0 技术构建的应用程序。

GV 在剑桥区块链实验室内设立了一个专门的实验室，以提供卓越的交易流程和尽职调查能力，并拥有由学术研究支持的深度技术见解。作为其承诺的一部分，Fineqia 将其部分现有投资投入到 GV 的投资组合中。

GV 打算投资于定义类别的数字资产公司并支持世界级的企业家，他们通过彻底改变我们的沟通、互动和工作方式来促进金融赋权、可持续性、相互依存和和平的社会。



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/8LGDpS8iMBv6jprdHTDen6nE,Gobi Partners,Investor,Renee Pan,Venture Capital ,"Hong Kong, China", China,"Asia,Australasia,Middle East",Y,,,Y,Y,,,"Series A,Series B,Seed & Pre-Series A",Y,Y,Y,,,"1,000,001 to 2,500,000 USD",,,Y,,,,,,,"Deep Technology,Food and Agriculture,Healthcare Technology,Manufacturing Technology",,Y,,Y,,,Y,,Y,,/participations/453728,,,"Gobi Partners is a 20+ year VC and active in Asia, which has over 16 offices across Pan Asia, with 1.6B USD AUM."
,https://storage.googleapis.com/b2match-as-1/9dwzENJ6UGbjNuKtkSA97Hxo,Grandis Capital,Investor,JF Liu,Family Office ,"Hong Kong, China (Hong Kong)", China (Hong Kong),"Asia,Africa,Europe,Australasia,Middle East,North America,South America",Y,Y,Y,Y,Y,Y,Y,"IPO,Series A,Series B,Seed & Pre-Series A,Series C and Beyond",Y,Y,Y,Y,Y,"50,000,001 USD or above",,,,,,,,,Y,"Consumer,Education,Deep Technology,Financial Technology,Food and Agriculture,Healthcare Technology,Manufacturing Technology,Digital Entertainment and Media,Infrastructure and Real Estate Services,Environment, Energy and Clean Technology",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/participations/454445,http://www.grandiscaps.com,,Family office that focuses on VC and PE investments
,,Guangdong Investment Limited,Investor,Sun Chen,Institutional Investor,"Hong Kong, China (Hong Kong)", China (Hong Kong),"Asia,Europe,Middle East,North America",Y,Y,Y,Y,,,,"IPO,Series A,Series B,Seed & Pre-Series A,Series C and Beyond",Y,Y,Y,Y,Y,"50,000,001 USD or above,5,000,001 to 7,500,000 USD,2,500,001 to 5,000,000 USD,7,500,001 to 10,000,000 USD,25,000,001 to 50,000,000 USD,10,000,001 to 25,000,000 USD",,,,Y,Y,Y,Y,Y,Y,"Food and Agriculture,Environment, Energy and Clean Technology",,,Y,,,,,,Y,,/participations/453747,,,"Guangdong Investment Limited (粤海投资有限公司, or GDI, website: https://www.gdi.com.hk/en_US/) is headquatered in Hong Kong and is a listed company (0270.HK) with the total assets/net assets of USD17.9 billion/7.6 billion (as at 30 June 2024).  GDI is principally engaged in water resources businesses (raw water supply, municipal water supply, waste water treatment, water environment treatment, smart water and related engineering work) in mainland China and in Hong Kong, among other businesses, and is widely regarded as one of the biggest water companies in China."
