,,,
,Company Name,Company Representative,Title
,Rainmaker Ventures Holdings,Zoe ZHAO,Co-Founder and CEO
,RANGAR Capital Management,Bundeep Singh Rangar,CEO
,Real See International,Mark Sham,Associate
,Real See International Intelligence,Sherry Liu,Head of Corp Finance
,Real See International Intelligence Technology Company Limited,Viann Fan,Business Development
,REDangels,Antonio Negreiros Fernandes,Partner
,REFIRE,Ezra Emerson,"Group Director of Marketing, Business Development"
,Remoted,MIKA RYTKÖNEN,CHAIRMAN
,Rexville Solutions Limited,YUHUI ZHANG,Customs Clearance Specialist
,RGV GLOBAL CONSULTANCY,Abhijeet Sammi,Global codinator
,River Square Company Limited,Paris Cheng,Marketing Manager
,Rivermap Company Limited,Eddie Pong,Founder & CEO
,RMA Contracts Pte Ltd,Xueqing Yin,China Country Manager
,S T S Limited,Yen On Chia,Chairman
,Safari Asia Limited,Maxy Du,Portfolio Manager
,SAFPAC Ltd.,Shen Wang,CEO
,Saltagen Ventures,Jimmy Lai,Senior Investment Manager
,Salus Alpha Financial Services AG,Christoph Roos,CEO
,Savills Valuation and Professional Services (China) Limited,"Yue XU, CFA, FRM, MRICS, CMA",Associate Director
,Savinvest,German Yanez,Director
,SCV Research and Development Pte. Ltd.,Jasper Wong,Enterprise Sales Director
,SDT Inc.,Jiwon Yune,Founder and CEO
,Sea Oil Public Company Limited,Kosit Fuangswasdi,Director
,SecDim,Pedram Hayati,Founder and CEO
,Seed Space Venture Capital,Arthur Lo,Director and Partner
,Serendipity Strategy Ltd.,Aibo Tsai,CEO
,Sewa Limited,MAHMOOD NASIR,Director
,Seyfarth Shaw LLP,Karen Lam,Consultant
,Shanghai Beiyi industrial company,johnny wang,"Shanghai, China"
,Shanghai Industrial Holdings Ltd,Nelson Wong,Head of Investment
,shanghaifuyuan,shiqi zuo,"上海, China"
,Shanghaivest Ltd,Bruno Bensaid,Co-Founder
,Shanxi Securities International,Chris Tam,"Director, Head of Equity Capital Market"
,Shell,Alex Alinia,CIO: Data & Digital Innovations
,Shenzhen Shenzhen Caffeine Management Co.,Sophia Zurini,Business development manager
,Shenzhen United Continent Certified Tax Agent Co..Ltd.,Wei Rao,Partner
,Shinhan Bank HK GIB,cha jake,VP
,Shorooq,Bilal Baloch,Partner
,Shoucheng Holdings Limited  (00697.HK),Sam So,Vice Department Head
,Silverbear Capital Inc,Casey CHEN,ASSOCIATE DIRECTOR
,Sino Rich Securities and Futures Limited,Martin Wong,Equity Portfolio Manager
,sinova.world,QIANHAO WANG,CEO
,"SkyTread Technology Co., Ltd",Yun Peng Xie,Vice President
,"Small Ticket Co., Ltd.",Jung Eun Kim,Founder & CEO
,SmartRetail Group Limited,Adam So,Founder & CEO
,Soft Bank China Venture Capital,Jie Chen,Senior Director
,Solaires Entreprises Inc.,Fabian de la Fuente,CEO
,Staccato Consulting UK Limited,Eric Yung,Director
,Stealth Venture Capital,TW Wes,Founder
,Stellerus Technology,Jing Li,Manager
,Sterling Private Management Limited,Sofia Wang,Investment Director
,Stfalcon,Yuliia Tizhuk,BDM
,Strategic Year Holdings Limited,Conrad Tsang,Founder and Chairman
,SUNSHINE ASEAN PACIFIC PVT LTD,NIKIL KUMAR GOYAL,CEO & Chairman
,Superfund,Dalibor Ostojic,Business Development
,Sustainable Development Capital (Asia) Limited,Peter Lau,Director
,Sustainable Finance Initiative,Francesco Stadler,"Director, Impact Funds and Ventures"
,Sustainvest Technology Limited,Water Cheung,Chairman
,Swiss Capital Group,Gary Sum,Chairman
,SynerTechcare Australia Pty,Chiu Tung Gregory Cheng,CEO
,TagHive,Nishita Kumar,Product Manager
,Tamara,Mohammad Alahmadi,Chief Financial Officer
,Tanggram,Erica Xie,Co-Founder
,TARAJII INSURANCE AGENCY,NANCY AKETCH,MANAGING DIRECTOR
,TASConnect,Jasper Wong,Director Enterprise Sales
,Tau-PAM,Samuel Plagnard,Managing Partner
,TBEA International Engineering Company/TBEA Co. Ltd,Wensi Zhang,Finance and Investment Director
,TDX Strategies Ltd.,Shih-Hung Lo,CEO
,Tech Wildcatters,Ricky Tejapaibul,Managing Partner
,Techvalue International Limited,Scott Kelly,Director
,Teleos Global,Ivan Yong,"Kowloon, China (Hong Kong)"
,Tenor Green Technology (Hong Kong) Limited,Jackie Xie,Ceo
,Tese,Kuzi Charamba,Founder & CEO
,TF International Securities,Willem Bark,"Head of Middle East & Europe Coverage, Belt & Road Department"
,TF International Securities,Lawrence Tsang,Head of Belt and Road Business Development
,TF International Securities,Alex Shupletsov,Head of Emerging Markets Coverage
,TG0,Liucheng Guo,Director
,TH Capital,Yong Zhao,senior associate
,The Hong Kong Association of Family Office,Edward Sun,Executive Director
,The SILC Group,Koby Jones,CEO
,The Sovereign Group,Andy Lau,Associate Director - Business Development
,Theo Quant Limited,Jackson Wong,CEO
,ThincLab,Feng Fu,Angel Investor / ThincLab Expert
,Tier Corporation Pty Ltd,Simon Chan,Founder and CEO
,Tikehau Capital,Young Joon Moon,"Hong Kong, China (Hong Kong)"
,Tinbowah Investment (Beijing) | CAMathories® Mathematical stories from historic Cambridge,Sam YU,VP
,TMI,Richard Kong,Principal
,Token Spirits,Tommy Cheung,Cofounder and CEO
,Top Fruits Agritech (HK) Limited,Siang Yieng Tan,Director of Business Development
,Top Fruits Agritech (HK) Limited,Sue Sian Tan,Director
,TOPAZ FAMILY OFFICE,Jim Kwok,Co-founder and CEO
,TOTODI TECHNOLOGIES,yao yao,SVP
,TPMA Consulting,Billy Tam,Managing Director
,Transcend Capital Partners,Anson Chan,Investment Analyst
,Transcend Capital Partners,Rachel Cheng,"HK, China (Hong Kong)"
,Transdale Investment Corp.,John Lin,Managing Director
,TRANSPAC CAPITAL,Chengzhi HAN,VICE PRESIDENT
,Tribation SportTech Inc.,Tim (Timur) Toramanoglu,Founder/CEO
,Trinity Photonics Pty Ltd,Simon Chan,CEO
,TRIVE,Ting Yan Leck,Managing Partner
,TRUFFLE CAPITAL,Bernard-Louis Roques,CEO & Co-founder
,Trust Cards,Christopher John Burke,CEO
,TusPark Capital Management (Luxembourg) SARL,Vincent Dou,Head of Investment
,TusPark Capital Management (Luxembourg) SARL,Daniel Dexiang WANG,Managing Partner
,Ultipa Inc.,Monica Liu,Co-Founder / COO
,Una Technologies Limited,"Leo, Cheuk Yu YEUNG",Managing Director
,Unite EV,Nico Jiang,CEO
,Unsensible,Jonathan Nguyen,Founder & CEO
,URich,Anna Hyvliud,Engagement manager
,UTM Management,Kaiming Chiang,Director
,U-topia,Emmanuel Quezada,CEO
,UVECON.VC,Ivan Ivanov,Founding Partner
,Vaune Asset Facilities Management Pte Ltd,R Moses Thomas,Chairman
,VCycene,Huayi Gao,Cofounder & CTO
,VectorBuilder Inc.,Nicholas Huang,Executive President
,"Vekin (Thailand) Co., Ltd.",Chakkavat Kittivat,Head of Product Developmnent
,Velexa Ltd.,Stephany Zoo,Strategic Advisor
,VENTURA Zrt.,Miklos Horvath,Chairman
,Venturebeam,Linda Liu,Chief of Staff and Vice President
,Verge HealthTech Fund,Lincoln Heng,"Singapore, Singapore"
,Verseprop,Joel Coren,Founder & CEO
,Vine Ventures Corp,Evelyn Y.K Lee,Managing Partner
,VirgoCX Global Holdings Inc.,Peter Ip,Head of Global Marketing/Co-Head of Retail
,virtual seed global,iris wang,合伙人
,Vision Carbon Limited,Kyrie Luo,CEO
,Vision Finance International Co Ltd,Yebi Hu,Director
,Vitalerter,Miki Raviv,Founder and CEO
,VNS Capital Partners,Vincci Lo,Managing Director
,VNX S.A.,Jean Diederich,Product Management & Member of the Board
,Volta Technique,Kamyar Rouindej,CEO
,Volvo Cars Tech Fund,WEI WANG,APAC Investment Director
,W P I . GROUP,M CHUNG,PARTNER
,Waffo Group Limited,Yifei Shen,Chief Business Officer
,WAS TECH SOLUTIONS LIMITED,Ingo Hanschmann,CEO
,WastEnergy Solution LTD,Mandy Wong,Commercial Strategist
,Web3 Dev Global,Everly Cheryl Choi,Director
,WebZ Technology Limited,Anthony K C LEUNG,CTO
,WellO2 Oy,Tuomas Lilleberg,"Director, Asia"
,Wells Global,Murphy Mok,"Admiralty, China (Hong Kong)"
,West Midlands Health Tech Innovation Accelerator,Cong Sui,Consultant & Research fellow
,Whitestone Capital,Joanne Fu,Director
,Wisdom Worldwide Group,Yam Lam,Founder
,Wizpresso Limited,Calvin Cheng,Founder & CEO
,World Micro Stock Vinimay USA LLC,Pradeep Kumar Gohil,CEO/Founder
,"Wuxi Yinhzhui Technology Development Co., Ltd.",Zeyun Zhu,CEO
,Wvinery Group,Tony Wong,Director
,XDC Trade Network,Sunil Senapati,CEO
,Xeptagon HK Limited,Sapumal Ahangama,Co-Founder & Advisor
,"Xiamen Suxiang Technology Co., Ltd.",XingCheng He,Director of Government and Enterprise Business Unit
,Xiamen Zhongguo Industry Group,Jinzhong Lin,General Manager
,xinze holding,重润 周,总经理
,Yao Teng Investment Fund,Sindy Wong,Investor relations
,Yintran Group Holdings Limited,SL Robert Liu,Director
,"Yip's Chemical Co., Ltd.",Miranda Chow,Head of Corporate Development
,yiya oral group,zhoutao tan,board secretary
,Youibot Robotics,Zora Zhao,Strategy Associate
,YoujiVest Hong Kong Limited,Vivi Hu,Co-founder and CEO
,"YSpace, York University",David Kwok,Director of Entrepreneurship & Innovation
,Yunfeng Financial,Chester Yeung,Associate Director
,ZenxTag Technology Limited,Chow Tsz Wing,Director
,ZERO Biotech,Yuk Man Chan,Corporate development
,ZGC Unicorn Company Development Alliance,Mandy Wong,Advisor
,Zhongling Group Shenzhen Co,lili Zheng,"Shenzhen, China"
,Zhongling Group Shenzhen Co,Yimei Wang,ceo
,Zodia Custody Limited,Simon Bourke,APAC Institutional Business
,ZQ Capital,Michael Gibson,Vice Chairman and Chief Executive Officer
,ZTSC,xinlong xing,"Hong Kong, China (Hong Kong)"
,一三一基金管理有限公司,环宇 王,Co-Founder（联合创始人）
,七腾机器人有限公司,诗然 聂,七腾机器人董事长秘书
,三盛（深圳）投资咨询有限公司,帅营 郭,董事长
,上海相龙投资管理有限公司,可 左,总经理
,上海娟娟细流文化传播有限公司,Lizzy Lee,执行董事/总经理
,大迈国际电子商务（广州）有限公司,JIAN DE LI,总经理
,大通股权投资管理有限公司,Feng He,执行董事
,山东省欣晟农业科技有限公司,品源 黄,"济南市, China"
,山东智谷投资管理有限公司,春雨 赵,总经理
,广东正迪科技股份有限公司,建程 王,董事长
,广东粤创投资发展有限公司,达彬 连,投资总监
,广州市飞泊智能科技有限公司,藉霖 刘,CEO
,广州市宇洋信息科技有限公司,伟欣 李,项目合伙人、财务顾问
,广州市坚丽实业有限公司,苏文 杨,"广州市, China"
,广州市悦智计算机有限公司,山河 杨,经理
,广州名锐讯动信息科技有限公司,JIAJUN OU,"广州, China"
,"广州艾目易科技有限公司  Guangzhou Aimooe Technology Co., Ltd.",Xioajian Yu,CFO
,广州诚飞口腔医疗有限公司,华诚 郭,总经理
,广州粤创投资有限公司,ZHIJUN GUO,投资总监
,广西华仁医学科技集团有限公司,明轩 季,"南宁市, China"
,广西海陆空数字经济科技有限公司,吕总伟 吕,创始人董事长
,中方国信集团有限公司,中周 曲,中方国信集团有限公司董事长
,中东商旅联盟集团公司,Emily tang,management
,中关村京港澳青年创新创业中心,凯 张,常务副总经理
,中兴汽车制造有限公司,剑民 郝,董事副总裁
,中资银投集团,鹏 刘,董事长
,中國檢驗有限公司,立恆 鄭,部門總監
,中華世紀,TANLEE CHAN,CEO
,双泰影业传媒（广东）有限公司,岳林 汪,董事长
,天津广仁投资咨询有限公司,富胜 赵,"北京, China"
,天津环渤海广仁大型设备租赁市场管理有限公司,玉发 吕,"北京, China"
,世界华人企业级联合会,严 肇萍,"湛江, China"
,世界华人企业家联合会,肇萍 严,"湛江, China"
,世嘉投资有限公司,MA FUGUAGN,"香港, China (Hong Kong)"
,东方意派（天津）智能科技有限公司,斯慧 陈,"北京, China"
,北京九霄致远文化艺术有限公司,霄鹏 王,总经理
,北京中大科慧科技發展有限公司,xifeng zhao,董事長
,北京星樾管理咨询有限公司,Xing Lu,CEO
,"北京美茵朗天新能源汽车有限公司 Mainheim Motors Co., Ltd",Marvin Ma,CEO
,四川妥妥递科技有限公司,耀 姚,"成都市, China"
,四川灵乌集团文化科技有限公司,小峰 周,副总裁
,四川科道农业有限责任公司,志远 宋,创始人兼总裁
,本无网络科技有限公司,Neal niu,COO
,永春县濠烽五金有限公司,杨干 杨,董事长
,玉禾田环境发展集团股份有限公司,雷军 延,副总裁
,亚洲数据集团,靖伟 祝,"深圳, China"
,共未来集团,ZHIHUA ZHANG,董事长
,共享伟业（北京）家居科技有限公司,金霖 黄,总经理
,华港龙生物科技有限公司GREATER BAY BIOTECHNOLOGY LIMITED,Colin Ng,Founder
,同花顺软件开发有限公司,勉 陈,"深圳, China"
,同花顺智能数据（香港）有限公司,Hung Jianhong,"香港, China (Hong Kong)"
,江苏非诚勿扰资产管理有限公司,海峰 顾,总经理（创始人）
,百应科技有限公司BAIIN Technology Co. LTD,特强 肖,总裁CEO
,西安城市发展集团,强 王,深圳分中心主任
,辽宁中宏能源新材料股份有限公司,歌凝 路,董事会秘书
,抚顺海上皇宫餐饮娱乐有限公司,HAO FENG,CEO
,沈阳杉海能源科技有限公司,佳彬 王,董事长
,沪港澳（海南）投资有限公司,qiao chu,合伙人
,丽晶（广东）产业投资集团,广生 梁,"北京, China"
,杭州乐湃网络科技有限公司,ZHICHENG TANG,CEO
,杭州安步汽车科技集团有限公司,培军 徐,联合创始人、党支部书记
,東莞金益德商業有限公司,hin yeung wong,客座教授
,板石智能科技（深圳）有限公司,恒恒 程,"深圳市, China"
,武汉大通黎峰股权投资有限公司,峰 何,董事总经理
,武汉云辅材科技有限公司,丹 杨,CEO
,河北百翔化工机械有限责任公司,鸣林 王,自由职业
,运世达医疗,Chen Xiaohui,CEO assistant
,青州市亚泰农业科技有限公司,春燕 董,董事长
,青岛沃联科技信息有限公司,顺 张,总经理
,青岛海尔创业投资有限责任公司,洁 徐,"青岛市, China"
,临沂商城（香港）有限公司,永倩 郭,CEO
,前海兩儀跨境投資,SAIMAN LIU,"前海, China"
,前海恒钧信息咨询,有光 闫,合伙人
,南京抒微智能科技有限公司,Wenhua Song,General Manager/President
,济南市中财金投资集团有限公司,钰彤 王,"山东省济南市市中区, China"
,胡桃夹子（杭州）文化科技有限公司,芳芳 李,董事长
,重庆行商汇传媒科技有限公司,建华 俞,总经理
,香港汇盛集团,小颖 阎,"香港, China (Hong Kong)"
,香港齿康科技公司,秋燕 谢,CEO
,香港齿康科技有限公司 DENTAL HEALTH PREVENTION TECHNOLOGY LIMITED,秋燕 谢,"香港, China (Hong Kong)"
,香港威達滙投資管理有限公司,Bizhen Wang,Founder
,香港捷貝樂科技有限公司,林 蒙,董事
,浙江核新同花顺网络信息股份有限公司,倩倩 魏,"深圳, China"
,浙江普威新材料有限公司,如顺 袁,总经理
,海宁市紫金港生物科技有限公司,利忠 王,总经理
,海玉国际绿色能源供应链协作公司,晓森 高,CEO
,海南东方好礼供应链有限公司,力丹 许,董事长
,烟台市青年企业家商会,康 王,山东瑞瀚网络科技有限公司总经理
,能蜂（珠海横琴）能源投资有限公司,静宇 孙,副董事长
,苏州科合科技服务有限公司,和祥 王,"北京, China"
,淏方（福建）生物科技有限公司,Peter Lin,董事长
,深圳市华焰天下科技有限公司,祖发 刘,CEO
,深圳市协力文化传播有限公司,桦峰 许,"深圳市, China"
,深圳市金博会运营发展有限公司,靖华 黄,总监
,深圳星辰通用機器人科技有限公司,Eva Wang,副总经理
,深圳派尔城市科技有限公司 | Pair City,诚 罗,副总
,深圳绿色交易所有限公司,嘉霖 高,"深圳, China"
,深圳翊楠文旅科技有限公司,健楠 矫,CEO
,深圳橙鹿控股集团,科成 陈,"北京, China"
,虚拟种子资产管理有限公司,杰 李,VP
,黄山建投私募基金管理有限公司,Jun SONG,总经理
,厦门腾基生物科技有限责任公司,美景 许,总经理
,壹财投资基金有限公司,Jackie Wong,Partner
,惠州市私募基金业协会,Eileen Hu ang,秘书长
,惠裕全球家族智库,耀予 张,CEO
,湖南欣正能源有限公司,星明 任,实控人
,药捷安康（南京）科技股份有限公司,洁 冯,董事会秘书
,華榕集團有限公司,秋華 蔡,副經理
,数库科技,Lucas lu,co-ceo
,新疆禹孚生物技术股份有限公司,祖良 李,CEO
,瑞众人寿保险,晓芳 钱,金融机构
,孵化育成中心.亞洲數據集團（ADG）,恒 凌,總經理
,福建世联商务咨询有限公司,一玲 卓,副总经理
,福建哈博实业有限公司,东 陈,总监
,福建省新竹科技咨询有限公司,竹松 蔡,总经理
,肇庆市双华科技有限公司,碧华 梁,董事长
,"赛创资本（集团）有限公司【Saitron Capital (Group) Co., Ltd.】",LUO DAN,Partners of Saitron Capital
,磐美迪控股（深圳）有限公司,恒启 赵,技术交流中心助理主任
,鎧·資本｜Armor Capital,Kerina Hsiao,"台北, Taiwan"
